edad,sueldo,experiencia,a�os_empleo,etiqueta,pais
28,70337,2,5,C,Mexico
45,37733,13,7,C,Estados Unidos
20,40557,13,3,A,Canada
22,65569,5,4,B,Estados Unidos
60,34585,13,2,C,Urugay
45,65937,2,4,C,Peru
27,75589,9,1,C,Peru
20,49440,2,3,C,Peru
54,32445,14,8,A,Argentina
48,30088,5,8,C,Canada
49,59557,7,2,C,Peru
23,57673,13,8,B,Canada
44,94163,2,1,B,Canada
34,41729,9,2,C,Argentina
60,59646,13,4,B,Urugay
32,76483,10,4,C,Estados Unidos
30,81698,14,6,A,Mexico
27,91198,4,6,C,Mexico
31,26948,3,2,A,Mexico
26,66160,2,5,B,Canada
53,83835,12,3,C,Urugay
26,55725,14,3,A,Estados Unidos
34,92904,2,7,B,Urugay
53,27992,5,4,B,Estados Unidos
23,97741,13,7,B,Peru
20,76981,9,7,C,Mexico
32,32519,9,1,B,Peru
28,35638,3,4,A,Canada
47,54234,5,4,A,Estados Unidos
21,82832,13,3,B,Estados Unidos
29,36055,11,4,B,Peru
34,98122,12,3,A,Estados Unidos
35,78806,13,4,A,Canada
63,39902,8,4,B,Peru
24,72589,1,4,B,Peru
33,30068,3,8,A,Estados Unidos
45,26018,6,4,A,Mexico
40,41587,3,9,A,Urugay
39,28605,3,4,C,Canada
51,78870,11,7,C,Estados Unidos
44,49648,14,6,A,Argentina
56,75263,3,3,B,Argentina
27,86783,3,1,A,Argentina
48,96458,12,7,C,Urugay
51,76168,7,8,A,Argentina
52,32263,6,4,C,Peru
32,26538,9,6,A,Peru
24,57273,8,2,C,Urugay
33,82507,2,2,B,Urugay
29,50179,4,1,C,Canada
54,25681,7,1,A,Peru
26,28140,12,6,B,Argentina
59,68616,10,4,B,Argentina
23,49042,5,2,A,Canada
44,91172,5,7,B,Mexico
63,50041,5,5,C,Canada
46,40798,11,1,C,Estados Unidos
53,98335,9,2,C,Mexico
64,36186,8,1,A,Mexico
21,26630,6,2,A,Urugay
40,62479,12,2,C,Estados Unidos
27,36363,3,5,B,Urugay
39,36800,7,5,B,Peru
55,93051,14,7,B,Canada
57,90242,11,5,A,Urugay
60,93475,14,8,A,Argentina
22,53052,4,3,B,Urugay
51,71094,3,1,B,Estados Unidos
51,26591,10,3,B,Canada
23,75780,7,3,A,Peru
23,56557,2,2,B,Canada
32,57462,4,2,C,Argentina
25,82210,12,7,C,Estados Unidos
21,26297,12,9,A,Canada
46,93300,14,3,C,Canada
48,57651,5,4,B,Estados Unidos
30,54201,9,6,A,Canada
40,71133,11,4,B,Urugay
53,75266,13,4,B,Canada
51,96222,11,6,C,Canada
22,27174,10,1,B,Mexico
53,84370,12,2,A,Canada
59,40148,6,7,A,Urugay
52,78351,9,4,B,Argentina
49,36234,13,2,B,Argentina
33,55347,7,9,A,Argentina
48,43981,2,3,C,Argentina
31,67687,11,3,B,Peru
41,28555,7,2,A,Canada
56,78852,11,3,A,Peru
33,41173,13,8,C,Estados Unidos
48,66917,1,6,A,Canada
29,28545,9,8,A,Mexico
45,31207,6,7,C,Urugay
51,80790,12,7,A,Urugay
34,58759,7,5,C,Mexico
51,78688,3,8,B,Mexico
47,38568,10,4,B,Mexico
24,76570,8,4,B,Argentina
48,79397,2,3,C,Argentina
49,26950,12,7,A,Urugay
48,39664,10,3,C,Urugay
21,70961,2,6,C,Urugay
39,72886,8,1,B,Estados Unidos
21,54894,1,9,A,Peru
58,81135,6,1,A,Estados Unidos
41,71515,9,2,C,Canada
50,85336,2,7,C,Estados Unidos
48,55299,13,9,A,Canada
52,39243,4,2,B,Urugay
43,93592,12,8,C,Peru
60,26228,9,6,A,Peru
44,80622,10,7,C,Argentina
50,53973,6,1,B,Argentina
30,26159,1,7,B,Peru
55,60570,8,4,C,Urugay
23,61713,14,4,A,Urugay
24,41372,14,4,B,Argentina
26,78522,6,6,B,Argentina
60,36434,13,5,A,Mexico
61,28796,12,7,B,Peru
60,25633,5,9,A,Urugay
29,28020,13,5,C,Mexico
35,62194,8,9,A,Canada
46,45604,1,9,C,Peru
22,36167,8,3,B,Mexico
44,86523,11,6,C,Mexico
57,74148,13,2,A,Canada
22,84336,3,9,B,Urugay
48,39853,1,2,C,Mexico
60,86586,9,6,B,Canada
23,47923,9,6,B,Argentina
52,26945,12,5,C,Estados Unidos
51,48619,4,5,B,Argentina
34,97660,3,1,A,Canada
30,84671,8,3,B,Estados Unidos
30,82087,1,7,A,Canada
57,73580,2,9,B,Mexico
26,33083,7,8,C,Peru
35,92482,3,8,C,Peru
38,28908,10,9,B,Canada
25,81816,9,2,B,Estados Unidos
40,54824,3,5,A,Canada
21,55496,7,1,C,Urugay
41,67184,4,5,A,Peru
55,74915,5,6,A,Canada
52,39425,14,6,B,Estados Unidos
39,38762,7,4,A,Argentina
27,36137,10,7,A,Mexico
53,51371,6,1,A,Mexico
51,78744,7,5,C,Urugay
51,34218,9,4,A,Urugay
29,97539,2,5,C,Peru
35,54807,8,1,C,Argentina
37,90015,12,7,C,Estados Unidos
63,44439,3,6,A,Urugay
26,49506,2,5,C,Mexico
55,98809,1,3,C,Argentina
47,94976,12,2,C,Mexico
26,61800,6,8,A,Peru
63,37658,11,3,B,Urugay
21,25860,13,4,C,Canada
62,55270,1,9,A,Argentina
57,43183,1,9,C,Estados Unidos
28,72506,10,8,C,Canada
29,67398,1,4,C,Argentina
63,75108,4,3,B,Mexico
40,80669,14,2,B,Argentina
59,44334,5,3,A,Peru
48,59764,1,9,A,Peru
42,46314,8,1,B,Estados Unidos
35,47742,6,9,C,Peru
56,41939,13,7,C,Urugay
20,56506,4,9,C,Peru
34,98697,6,7,A,Estados Unidos
36,63609,7,9,A,Estados Unidos
59,85356,1,9,A,Estados Unidos
31,78407,7,5,A,Mexico
43,71772,7,7,B,Urugay
37,85376,5,8,C,Canada
55,58814,14,5,B,Canada
32,87127,6,5,A,Canada
63,85222,13,7,A,Estados Unidos
57,95216,7,7,C,Peru
33,53728,10,6,B,Peru
26,38267,8,2,B,Urugay
25,30320,14,9,A,Peru
21,39393,13,2,B,Canada
60,96909,4,1,C,Urugay
40,72820,1,1,B,Argentina
42,97408,14,3,B,Mexico
54,86339,2,8,B,Peru
49,47282,12,7,C,Canada
53,37987,14,6,B,Estados Unidos
31,75758,3,8,A,Urugay
31,99149,11,1,B,Peru
24,61599,8,7,C,Mexico
48,39151,10,3,C,Estados Unidos
52,37999,4,9,C,Argentina
27,87564,14,5,A,Estados Unidos
27,98742,4,1,B,Argentina
30,26950,6,7,B,Argentina
41,85546,4,5,A,Argentina
52,57948,11,7,B,Canada
38,75756,14,8,A,Peru
49,71806,11,3,A,Argentina
25,65161,9,7,B,Peru
55,96394,8,5,C,Argentina
43,89922,5,9,B,Peru
43,37024,7,4,A,Mexico
34,62601,12,2,A,Peru
22,76961,13,8,B,Mexico
47,71477,3,8,A,Estados Unidos
36,64876,6,1,B,Argentina
25,93219,4,6,A,Estados Unidos
60,83847,9,4,A,Peru
34,50725,6,8,B,Urugay
32,77007,2,2,B,Mexico
46,79346,11,4,B,Canada
20,32673,5,2,B,Estados Unidos
47,73957,8,8,C,Mexico
38,72692,6,1,C,Estados Unidos
42,89092,3,9,B,Estados Unidos
27,76384,5,5,B,Peru
34,43798,3,5,A,Canada
23,75319,7,5,B,Canada
26,84790,9,9,B,Urugay
56,80518,12,6,B,Mexico
26,73499,6,6,B,Urugay
59,35224,5,5,B,Mexico
60,61567,5,6,A,Urugay
31,46345,9,6,C,Canada
51,95789,4,6,C,Urugay
36,68567,1,8,B,Urugay
33,51215,4,8,C,Argentina
51,44165,14,6,B,Urugay
20,83036,10,8,B,Peru
30,28433,7,8,C,Argentina
42,66959,6,4,B,Estados Unidos
33,74157,11,3,A,Urugay
46,41741,11,1,C,Canada
21,88829,2,1,B,Argentina
44,79832,12,1,C,Peru
57,28383,7,6,B,Estados Unidos
64,34244,4,1,B,Peru
40,44271,9,2,C,Urugay
42,74420,13,1,B,Urugay
28,36616,14,7,A,Canada
43,27782,4,3,A,Canada
20,41756,3,2,C,Peru
29,50362,9,6,B,Peru
54,72679,6,5,A,Canada
36,53071,10,1,B,Estados Unidos
34,28432,1,2,C,Estados Unidos
55,35698,11,1,A,Canada
61,89679,7,6,B,Canada
52,70130,5,9,C,Mexico
37,88039,1,5,C,Argentina
53,89007,14,6,B,Argentina
21,69295,13,6,C,Estados Unidos
34,98939,6,5,C,Peru
32,32093,14,4,A,Argentina
22,88681,4,4,C,Canada
34,56874,12,9,C,Estados Unidos
39,96191,1,3,B,Urugay
30,67833,3,2,C,Canada
35,64700,14,7,B,Canada
39,52901,9,4,B,Mexico
43,77509,2,7,A,Mexico
27,81593,11,1,C,Mexico
44,35488,8,6,C,Canada
56,46448,2,8,A,Peru
43,52826,8,9,A,Urugay
55,26291,1,8,A,Peru
46,70712,11,7,C,Mexico
30,82625,10,4,B,Mexico
61,81200,9,6,C,Argentina
21,95704,12,6,A,Estados Unidos
59,28777,9,2,C,Mexico
60,67136,12,8,B,Canada
26,52023,6,9,B,Canada
25,82976,3,7,B,Mexico
38,68887,6,2,A,Mexico
26,95370,8,7,A,Urugay
53,51525,14,5,B,Estados Unidos
24,48966,12,3,C,Argentina
44,42977,13,9,C,Peru
43,73222,5,7,A,Argentina
49,40121,5,5,A,Mexico
21,92387,12,3,A,Mexico
39,45347,1,7,B,Canada
33,87743,7,3,B,Mexico
47,95831,1,9,C,Peru
37,98864,10,5,A,Peru
42,86020,7,3,A,Canada
44,66656,2,1,B,Mexico
20,26298,10,2,C,Argentina
64,43523,2,3,A,Estados Unidos
49,60585,7,3,C,Argentina
58,74825,1,4,B,Canada
42,44967,7,2,C,Urugay
33,94855,10,8,A,Urugay
47,58423,4,9,B,Argentina
32,60093,14,6,B,Peru
34,90958,8,2,A,Peru
39,26938,8,6,B,Mexico
62,84563,3,3,B,Estados Unidos
28,57060,3,8,C,Peru
20,45584,11,7,C,Urugay
40,82705,12,6,B,Mexico
30,81378,6,8,B,Urugay
45,39440,11,6,B,Argentina
33,55402,5,1,A,Estados Unidos
55,77724,1,8,C,Urugay
27,71663,11,4,C,Canada
59,74761,12,8,A,Mexico
62,66404,6,8,C,Estados Unidos
51,52563,7,8,A,Mexico
64,66809,5,3,C,Argentina
22,27150,4,1,B,Estados Unidos
62,87102,3,5,C,Canada
26,45568,13,4,B,Estados Unidos
38,94913,7,2,B,Canada
57,48466,3,1,C,Mexico
20,28852,10,8,B,Urugay
32,50769,14,2,B,Canada
50,66663,9,5,B,Peru
35,32407,5,9,A,Estados Unidos
49,63061,14,8,C,Canada
36,50494,4,9,C,Urugay
29,95131,3,7,A,Mexico
23,95548,14,3,B,Peru
40,37186,9,8,A,Estados Unidos
21,98143,8,9,A,Argentina
20,43863,1,9,C,Urugay
55,44471,8,3,C,Peru
57,94064,12,1,B,Canada
61,29235,1,2,B,Urugay
64,37420,12,8,A,Canada
49,85717,1,2,A,Estados Unidos
36,72189,11,2,A,Argentina
24,66406,3,9,B,Estados Unidos
44,50452,13,2,B,Estados Unidos
22,96833,8,3,A,Argentina
38,35007,10,6,B,Mexico
57,32762,13,4,A,Peru
43,63253,12,5,C,Peru
38,33176,2,6,B,Mexico
41,49967,1,9,B,Argentina
21,63389,2,6,C,Mexico
25,93879,12,7,A,Peru
27,52623,2,6,C,Estados Unidos
23,65011,2,3,A,Argentina
59,90566,9,9,C,Canada
44,40971,8,5,B,Urugay
48,98396,3,6,B,Urugay
53,74302,6,3,B,Estados Unidos
34,40414,6,5,B,Estados Unidos
56,83492,6,9,B,Canada
38,64539,3,8,A,Canada
30,29511,5,8,A,Urugay
48,76574,5,3,C,Urugay
39,47119,1,2,C,Argentina
44,51874,4,8,A,Mexico
23,66232,3,7,A,Mexico
32,44913,6,1,B,Argentina
26,85695,3,7,A,Urugay
50,80962,14,6,C,Mexico
54,92084,2,7,C,Estados Unidos
63,48106,4,1,B,Mexico
48,88314,11,3,A,Estados Unidos
21,38684,7,8,C,Mexico
63,50659,10,2,B,Argentina
49,36833,7,8,A,Mexico
42,69724,11,9,C,Peru
30,53857,5,7,B,Urugay
45,79263,1,3,C,Mexico
27,53723,6,1,B,Estados Unidos
25,56630,4,3,B,Urugay
50,47084,6,3,B,Estados Unidos
33,51595,13,8,B,Urugay
55,73268,9,9,A,Canada
39,88503,12,4,B,Estados Unidos
39,89020,12,9,C,Peru
32,76955,13,5,C,Mexico
38,73488,1,6,A,Canada
45,75577,2,8,C,Mexico
38,60257,9,9,C,Mexico
62,38124,10,3,C,Argentina
57,81970,9,4,C,Urugay
59,88988,11,2,C,Urugay
43,79634,14,4,A,Urugay
24,50141,10,9,A,Mexico
27,50652,11,5,B,Mexico
31,69352,2,9,C,Peru
32,60119,7,5,C,Urugay
39,40881,11,2,A,Canada
29,47024,14,7,C,Estados Unidos
59,80002,4,5,B,Estados Unidos
24,44577,10,7,A,Argentina
46,47880,10,5,A,Peru
28,93312,4,1,A,Mexico
29,47968,8,1,C,Estados Unidos
49,77585,2,8,B,Peru
37,46755,13,4,A,Argentina
45,29519,5,5,A,Estados Unidos
61,53623,10,2,A,Argentina
21,85985,13,3,C,Canada
22,30277,3,4,A,Argentina
37,88260,8,2,A,Argentina
43,46537,13,7,A,Peru
53,40709,3,4,C,Canada
29,33279,7,7,C,Peru
30,33058,10,2,A,Estados Unidos
53,40334,14,1,B,Peru
64,30785,10,8,A,Mexico
31,57265,9,2,A,Estados Unidos
34,48501,8,9,A,Argentina
25,55336,9,7,B,Peru
55,55086,6,9,C,Urugay
37,43498,4,7,B,Mexico
43,78963,10,2,C,Estados Unidos
44,59980,12,3,C,Canada
54,87544,5,4,C,Argentina
45,63092,11,7,B,Estados Unidos
48,81850,5,9,A,Mexico
29,46485,12,1,B,Peru
25,66051,9,3,B,Urugay
39,94874,12,7,A,Urugay
21,80463,12,6,B,Urugay
61,78472,1,8,B,Urugay
27,50277,5,4,B,Argentina
50,61241,8,3,C,Estados Unidos
63,71586,11,7,C,Urugay
45,25990,8,3,B,Urugay
50,57870,6,1,C,Estados Unidos
29,78656,1,8,C,Canada
36,72065,8,6,B,Peru
63,53509,2,7,A,Urugay
27,96783,4,9,B,Peru
62,55675,10,5,B,Mexico
31,89374,13,7,C,Mexico
37,34458,6,7,B,Canada
20,84259,5,3,A,Canada
28,70245,6,4,C,Canada
60,77125,4,2,C,Mexico
32,60001,6,7,C,Peru
21,74044,4,6,C,Peru
50,72448,6,6,B,Argentina
30,34290,13,7,B,Argentina
25,61135,10,6,B,Estados Unidos
37,58645,14,3,C,Canada
25,51432,14,4,C,Mexico
40,64517,1,1,B,Argentina
47,61813,10,4,C,Argentina
42,89439,1,9,B,Argentina
27,75824,10,8,A,Estados Unidos
59,45973,7,6,A,Mexico
32,63630,14,2,B,Urugay
51,28118,5,4,A,Urugay
38,71541,8,6,C,Argentina
23,75940,3,8,C,Peru
39,69025,4,3,A,Urugay
60,64778,7,8,A,Estados Unidos
47,76960,7,1,B,Mexico
42,49278,13,9,B,Mexico
39,76826,6,6,B,Mexico
20,85790,2,3,B,Mexico
37,59850,6,1,C,Estados Unidos
56,60146,4,9,B,Mexico
46,81514,10,9,A,Urugay
58,59313,1,6,B,Argentina
62,47149,6,4,B,Peru
46,96099,5,5,C,Estados Unidos
24,55828,8,2,C,Peru
45,54294,5,4,A,Canada
55,91105,9,9,B,Argentina
22,81211,4,8,A,Mexico
44,50318,3,4,B,Estados Unidos
20,81041,13,3,C,Peru
35,67316,2,7,A,Peru
26,62633,12,7,C,Canada
22,97973,6,4,C,Estados Unidos
23,30642,8,2,C,Estados Unidos
40,34798,6,6,C,Mexico
48,25701,2,7,A,Estados Unidos
40,47336,7,9,B,Canada
56,81206,2,1,A,Urugay
47,47524,2,8,C,Urugay
54,74745,9,2,B,Estados Unidos
35,98061,1,8,A,Canada
25,65051,10,3,A,Canada
36,55832,14,5,B,Estados Unidos
30,54441,9,7,B,Peru
26,29078,13,3,C,Urugay
42,93819,3,2,A,Canada
50,63312,2,1,B,Canada
37,79456,13,1,C,Estados Unidos
23,64398,13,4,C,Canada
54,72763,4,7,B,Mexico
32,85443,9,9,C,Mexico
29,27457,3,4,B,Canada
56,86869,9,9,A,Mexico
48,96097,13,3,B,Canada
39,57884,5,7,C,Urugay
55,45808,10,8,A,Canada
38,73165,4,2,A,Canada
63,57403,6,4,A,Canada
28,92962,2,1,C,Argentina
39,64008,4,3,A,Estados Unidos
63,27257,5,8,A,Urugay
47,56387,9,5,A,Urugay
49,38301,6,8,B,Estados Unidos
22,59954,12,9,A,Mexico
57,25997,6,5,A,Mexico
20,71144,8,7,C,Canada
39,96982,1,7,C,Estados Unidos
59,96205,12,9,C,Argentina
36,27602,7,3,B,Estados Unidos
27,90503,4,6,A,Estados Unidos
34,44114,14,4,C,Mexico
24,56249,1,9,C,Peru
27,87497,7,9,B,Argentina
25,32324,5,6,A,Argentina
45,43111,5,7,C,Estados Unidos
54,69549,8,6,A,Peru
39,26685,3,6,B,Peru
59,50106,1,4,B,Peru
35,36578,7,9,C,Canada
21,77763,8,8,B,Mexico
22,35913,13,1,A,Peru
32,26389,12,4,B,Estados Unidos
23,60357,3,1,A,Peru
42,51105,4,4,A,Canada
57,25810,10,8,C,Estados Unidos
35,88345,5,6,B,Mexico
28,59895,6,3,A,Argentina
63,82777,4,3,A,Urugay
54,37529,11,7,C,Urugay
22,47089,4,4,B,Urugay
49,69703,6,9,A,Mexico
38,83650,6,1,B,Estados Unidos
36,66058,12,1,B,Argentina
21,85885,6,5,B,Peru
64,42509,7,4,B,Peru
52,81968,3,8,C,Peru
56,82650,2,8,B,Urugay
41,58289,6,2,C,Urugay
64,84331,3,1,A,Peru
22,41786,1,3,C,Estados Unidos
32,65378,13,8,B,Urugay
36,39810,6,5,B,Argentina
35,26643,9,6,B,Estados Unidos
44,64949,9,9,A,Peru
35,45371,1,5,A,Estados Unidos
35,58204,5,1,B,Peru
47,74880,10,3,A,Mexico
63,33906,9,2,C,Canada
58,84553,10,3,C,Peru
53,55188,5,6,B,Canada
55,26723,8,9,A,Estados Unidos
22,28831,9,6,A,Estados Unidos
48,44712,2,3,A,Urugay
41,94490,10,2,C,Mexico
46,74525,7,8,C,Canada
48,45635,2,1,C,Peru
44,43521,10,8,C,Urugay
47,37406,6,1,C,Peru
27,55921,2,5,B,Mexico
21,84867,13,4,A,Urugay
23,73431,11,8,B,Estados Unidos
27,32457,12,6,A,Argentina
46,47462,10,6,A,Argentina
22,71681,2,4,B,Mexico
26,29282,11,7,B,Mexico
37,59126,2,4,C,Estados Unidos
56,86735,11,6,A,Estados Unidos
23,49969,7,5,B,Mexico
59,37246,7,9,B,Canada
29,98776,4,4,C,Peru
37,74644,11,7,A,Argentina
44,76981,2,6,B,Mexico
24,62504,10,4,B,Mexico
62,98289,1,5,C,Mexico
35,89161,3,6,A,Urugay
30,56549,3,3,B,Mexico
61,66610,13,8,B,Urugay
63,79154,7,4,B,Estados Unidos
33,94277,12,5,B,Argentina
51,31259,1,8,C,Estados Unidos
20,99604,9,5,B,Urugay
47,47459,11,8,C,Estados Unidos
33,96964,3,7,C,Canada
30,99918,10,8,C,Peru
36,54533,8,6,A,Argentina
53,57392,8,3,B,Canada
49,71367,8,3,C,Canada
43,80756,13,7,B,Estados Unidos
33,53222,4,1,A,Mexico
27,69346,7,3,C,Argentina
59,45669,14,4,C,Argentina
48,30146,9,3,C,Mexico
47,50515,2,6,B,Estados Unidos
56,26546,2,3,A,Argentina
42,82176,13,5,A,Peru
40,86646,12,7,B,Argentina
27,38327,5,2,B,Canada
44,36001,6,9,A,Peru
54,77514,9,1,A,Peru
29,72068,11,1,A,Estados Unidos
24,43980,13,9,A,Estados Unidos
27,37139,3,2,C,Argentina
64,33343,14,2,B,Argentina
57,69180,10,5,A,Canada
61,31928,3,6,C,Estados Unidos
35,40558,4,3,C,Urugay
40,54937,5,9,A,Urugay
59,70525,14,1,B,Peru
38,86462,14,9,A,Argentina
57,30841,10,3,C,Estados Unidos
44,29498,3,1,C,Peru
57,25436,11,5,A,Argentina
49,84623,14,6,C,Peru
35,28547,12,3,B,Urugay
60,63061,2,4,B,Peru
38,75630,10,5,B,Estados Unidos
31,40492,8,9,C,Mexico
25,58528,13,8,A,Canada
35,55934,13,9,C,Canada
48,96364,1,8,C,Argentina
56,56891,1,7,C,Argentina
35,59153,9,3,A,Estados Unidos
50,46753,4,8,C,Canada
21,44282,13,3,C,Argentina
25,54365,5,3,C,Argentina
27,82006,7,8,C,Estados Unidos
44,76144,13,3,C,Estados Unidos
53,98824,7,3,C,Mexico
61,72555,4,6,B,Mexico
59,45383,12,3,A,Canada
55,46784,1,5,B,Argentina
44,53370,4,1,A,Argentina
45,26590,1,6,A,Mexico
62,95390,13,5,B,Mexico
21,80051,4,7,B,Estados Unidos
43,54621,3,3,A,Estados Unidos
47,76770,6,3,A,Mexico
34,93739,3,3,A,Urugay
36,41336,5,4,C,Mexico
22,57931,4,4,A,Estados Unidos
31,39924,3,6,A,Estados Unidos
50,75210,10,9,A,Mexico
44,62799,2,7,A,Argentina
52,88787,4,9,A,Estados Unidos
50,68542,7,2,A,Canada
55,61795,2,4,C,Canada
34,89835,2,8,B,Estados Unidos
55,98875,4,1,B,Peru
22,38761,9,5,B,Argentina
44,59569,9,4,C,Urugay
46,69920,7,1,B,Argentina
41,34627,11,9,C,Estados Unidos
29,35422,7,1,B,Peru
25,26258,13,5,C,Canada
45,48522,8,9,C,Canada
63,98115,8,2,A,Canada
41,71446,12,6,C,Canada
48,30663,1,7,B,Canada
24,39964,2,4,B,Argentina
25,59999,5,7,B,Peru
28,54693,13,2,C,Canada
58,48395,10,5,A,Canada
40,45509,14,6,B,Argentina
24,55298,6,5,C,Mexico
59,80857,3,3,C,Argentina
53,64453,1,5,A,Peru
48,83808,6,2,C,Mexico
30,50671,5,6,C,Peru
32,26022,5,9,A,Argentina
63,85885,8,2,C,Argentina
57,44558,2,4,A,Mexico
61,29291,8,8,B,Canada
32,69245,7,5,B,Argentina
55,95569,13,9,C,Peru
44,44102,12,1,B,Argentina
56,34165,8,4,A,Mexico
60,69379,14,3,C,Mexico
51,43094,4,2,A,Peru
30,79353,14,8,B,Argentina
54,89033,5,7,A,Canada
38,58376,10,8,C,Peru
56,31632,7,6,B,Canada
47,34121,2,6,B,Argentina
33,26370,7,5,C,Urugay
31,38508,9,8,C,Peru
60,41162,13,1,C,Urugay
63,42129,5,3,C,Urugay
62,34814,5,9,A,Estados Unidos
45,97519,10,4,C,Peru
35,89829,11,9,C,Urugay
55,50349,4,6,A,Canada
27,60503,8,3,B,Urugay
50,79254,12,3,C,Peru
63,39841,2,2,C,Estados Unidos
57,68701,10,8,C,Canada
32,74752,6,7,A,Estados Unidos
33,35959,4,6,A,Argentina
63,41636,4,7,A,Argentina
54,32353,12,2,A,Peru
24,92196,12,8,B,Peru
58,59105,5,8,C,Peru
46,85182,6,8,A,Peru
34,53241,11,3,B,Urugay
39,51548,9,1,C,Urugay
27,81028,8,5,B,Urugay
41,56414,11,8,C,Argentina
25,61161,3,1,C,Urugay
36,99677,14,1,A,Canada
58,30279,14,1,B,Urugay
51,30836,1,5,A,Canada
52,25847,10,5,A,Peru
28,47392,13,8,A,Mexico
51,83627,9,9,B,Mexico
39,28944,3,7,A,Mexico
41,97279,7,4,B,Canada
45,45408,2,4,B,Peru
46,38796,8,9,C,Argentina
46,70744,14,8,C,Urugay
39,61241,12,1,C,Mexico
51,26209,9,1,B,Argentina
39,62327,11,8,C,Urugay
37,86357,3,6,C,Urugay
62,28165,10,2,A,Peru
40,32897,5,6,B,Argentina
47,93813,2,4,A,Mexico
44,38345,8,6,B,Peru
33,69238,14,7,B,Argentina
33,58424,12,5,B,Canada
46,79964,1,8,B,Peru
63,71518,8,3,A,Peru
47,48987,12,3,C,Mexico
47,93841,4,2,A,Mexico
50,61441,4,3,A,Urugay
53,39361,14,3,A,Mexico
56,35018,9,1,A,Estados Unidos
56,83008,1,2,B,Argentina
36,63284,9,2,B,Argentina
48,36867,9,2,C,Peru
55,49061,1,5,A,Urugay
52,27794,12,3,C,Canada
47,95212,9,6,B,Argentina
32,49564,2,3,C,Mexico
35,59451,7,5,B,Peru
22,70406,7,1,C,Canada
53,34415,7,7,C,Peru
30,93688,9,8,B,Estados Unidos
26,99623,2,6,C,Canada
34,64271,4,3,B,Urugay
30,95824,5,8,A,Urugay
64,74142,14,6,B,Peru
61,81237,9,7,B,Argentina
32,25539,6,5,B,Estados Unidos
51,60092,6,3,C,Argentina
39,89257,11,5,C,Mexico
37,34800,9,9,B,Estados Unidos
60,66335,8,5,A,Mexico
29,44874,8,3,B,Mexico
21,92294,14,7,A,Peru
57,30685,8,2,A,Urugay
44,67077,11,4,A,Peru
33,29358,2,2,C,Mexico
33,46687,12,6,A,Argentina
30,81814,8,3,B,Mexico
21,47684,1,5,A,Argentina
29,25325,13,5,B,Peru
32,82436,12,4,C,Urugay
38,40456,4,1,B,Argentina
23,84287,4,3,B,Peru
48,92871,2,3,A,Urugay
44,28206,12,5,A,Urugay
26,44154,8,3,C,Estados Unidos
61,30784,14,7,B,Urugay
53,31928,12,3,A,Peru
31,59324,3,4,A,Peru
50,80506,9,6,A,Mexico
52,85468,1,7,A,Mexico
51,48222,14,6,C,Argentina
44,53156,13,9,C,Mexico
63,77533,1,9,A,Urugay
59,98823,13,2,A,Estados Unidos
38,78337,2,7,B,Mexico
28,39745,9,4,A,Argentina
40,38061,13,2,A,Mexico
54,36483,4,5,B,Urugay
29,81875,13,9,A,Estados Unidos
55,38066,6,9,B,Argentina
31,85544,8,5,B,Urugay
50,26492,9,9,A,Estados Unidos
21,50645,8,5,A,Peru
54,77696,14,3,B,Canada
61,28710,4,2,A,Estados Unidos
24,65255,3,4,B,Argentina
40,39742,14,5,B,Estados Unidos
58,69605,8,7,A,Mexico
40,35970,11,4,C,Argentina
29,94805,5,5,A,Canada
23,80127,9,4,C,Peru
28,52916,6,4,A,Estados Unidos
58,63711,10,4,C,Mexico
51,41422,1,3,C,Argentina
32,82818,6,4,C,Urugay
39,32740,13,1,B,Peru
53,40265,8,8,B,Estados Unidos
45,40707,12,4,C,Mexico
64,80653,14,2,A,Peru
45,32538,12,4,C,Mexico
31,48320,11,4,C,Mexico
52,84083,14,3,A,Canada
53,55041,1,7,C,Peru
51,64930,11,6,B,Canada
47,65052,2,5,A,Mexico
61,53423,3,1,B,Peru
36,95153,4,9,B,Estados Unidos
62,33513,13,9,A,Mexico
20,93537,9,8,C,Argentina
53,74894,1,2,C,Mexico
52,82233,8,8,C,Mexico
22,48870,1,3,A,Canada
34,33496,2,7,C,Urugay
41,71073,1,3,B,Argentina
46,26638,11,1,A,Mexico
56,62045,11,2,B,Argentina
34,38929,1,7,B,Canada
35,56795,11,2,B,Peru
30,72985,2,1,C,Argentina
29,84469,3,5,C,Canada
42,48199,13,6,B,Mexico
21,64857,13,8,A,Urugay
50,62634,10,9,A,Peru
20,67494,2,2,A,Mexico
34,35648,5,4,B,Canada
44,57660,12,8,B,Mexico
58,39186,8,3,C,Peru
44,77521,3,7,C,Mexico
59,46195,13,1,B,Mexico
42,66502,12,7,B,Estados Unidos
33,88973,11,5,A,Estados Unidos
59,69764,2,9,B,Estados Unidos
50,55708,12,4,A,Urugay
46,96882,12,7,B,Mexico
60,35310,14,1,A,Mexico
33,97392,3,6,C,Canada
54,60059,6,4,A,Peru
32,64471,11,1,C,Peru
33,51748,8,8,C,Peru
51,73217,13,4,C,Estados Unidos
47,27928,9,2,B,Estados Unidos
29,33946,8,3,B,Urugay
27,94288,2,6,A,Canada
27,77390,5,2,B,Canada
62,36389,3,8,B,Peru
57,32781,6,1,C,Estados Unidos
59,85977,12,8,A,Urugay
